,Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Unnamed: 0,target
9302072,9302072,2021-06-10 11:58:25.992778+00:00,x,y,2021-06-24 11:00:00+00:00,2021-06-24 12:55:00+00:00,beta,True,20.0,0,b-69,9302072,10078.0
21452104,21452104,2021-08-29 11:00:22.458666+00:00,x,y,2021-09-15 10:35:00+00:00,2021-09-15 12:35:00+00:00,omega,True,20.0,1,d-3,21452104,6870.0
9692286,9692286,2021-06-13 12:29:22.636952+00:00,x,y,2021-08-14 04:00:00+00:00,2021-08-14 06:00:00+00:00,alpha,True,35.0,1,a-1,9692286,7124.0
2180222,2180222,2021-02-26 12:42:12.032226+00:00,x,y,2021-03-05 11:00:00+00:00,2021-03-05 12:55:00+00:00,beta,True,20.0,0,b-69,2180222,11473.0
16584981,16584981,2021-07-30 21:23:07.187238+00:00,x,y,2021-08-01 10:00:00+00:00,2021-08-01 12:00:00+00:00,alpha,True,15.0,1,a-7,16584981,12945.0
19329738,19329738,2021-08-15 20:12:52.837282+00:00,x,y,2021-08-29 16:00:00+00:00,2021-08-29 18:00:00+00:00,alpha,True,20.0,1,a-23,19329738,8381.0
20288228,20288228,2021-08-21 08:44:44.189189+00:00,x,y,2021-09-01 08:00:00+00:00,2021-09-01 09:55:00+00:00,beta,True,20.0,0,b-67,20288228,6410.0
6265274,6265274,2021-05-06 04:23:48.165578+00:00,x,y,2021-05-22 15:30:00+00:00,2021-05-22 17:30:00+00:00,alpha,True,35.0,1,a-7,6265274,8290.0
21161035,21161035,2021-08-27 05:41:18.380049+00:00,x,y,2021-09-13 02:00:00+00:00,2021-09-13 03:55:00+00:00,beta,True,20.0,0,b-73,21161035,7280.0
18972922,18972922,2021-08-13 21:52:25.909382+00:00,x,y,2021-08-20 07:30:00+00:00,2021-08-20 09:30:00+00:00,alpha,True,20.0,1,a-5,18972922,12645.0
5222571,5222571,2021-04-22 10:05:38.896044+00:00,x,y,2021-04-26 16:00:00+00:00,2021-04-26 18:00:00+00:00,alpha,True,15.0,1,a-7,5222571,5996.0
15785934,15785934,2021-07-25 01:51:02.396056+00:00,x,y,2021-07-25 07:00:00+00:00,2021-07-25 09:00:00+00:00,alpha,True,35.0,1,a-5,15785934,25345.0
13391100,13391100,2021-07-07 19:45:53.281956+00:00,x,y,2021-07-10 09:45:00+00:00,2021-07-10 11:45:00+00:00,gamma,True,20.0,2,c-2,13391100,15065.0
3753180,3753180,2021-03-24 06:29:50.631848+00:00,x,y,2021-04-18 05:00:00+00:00,2021-04-18 07:00:00+00:00,alpha,True,15.0,1,a-1,3753180,9798.0
8803228,8803228,2021-06-05 11:56:42.969567+00:00,x,y,2021-06-26 07:00:00+00:00,2021-06-26 09:00:00+00:00,alpha,True,35.0,1,a-5,8803228,9707.0
13836279,13836279,2021-07-10 17:06:00.706912+00:00,x,y,2021-08-01 13:00:00+00:00,2021-08-01 15:00:00+00:00,alpha,True,35.0,1,a-9,13836279,12645.0
12328412,12328412,2021-07-02 11:19:22.265099+00:00,x,y,2021-07-06 05:00:00+00:00,2021-07-06 06:55:00+00:00,beta,True,40.0,0,b-1,12328412,12890.0
15913466,15913466,2021-07-25 20:13:48.050057+00:00,x,y,2021-08-09 10:00:00+00:00,2021-08-09 12:00:00+00:00,gamma,True,20.0,1,c-2,15913466,7765.0
12068494,12068494,2021-06-30 21:28:35.480915+00:00,x,y,2021-07-13 07:00:00+00:00,2021-07-13 09:00:00+00:00,alpha,True,35.0,1,a-5,12068494,8800.0
2048978,2048978,2021-02-23 07:00:05.673735+00:00,x,y,2021-02-25 14:00:00+00:00,2021-02-25 15:55:00+00:00,beta,True,40.0,0,b-9,2048978,14141.0
4941011,4941011,2021-04-20 05:06:13.768648+00:00,x,y,2021-05-10 13:30:00+00:00,2021-05-10 15:30:00+00:00,alpha,True,35.0,1,a-5,4941011,8290.0
14152832,14152832,2021-07-12 17:20:41.505860+00:00,x,y,2021-07-14 17:00:00+00:00,2021-07-14 18:59:00+00:00,gamma,True,20.0,1,c-6,14152832,12560.0
12026461,12026461,2021-06-30 16:58:29.789572+00:00,x,y,2021-07-10 13:00:00+00:00,2021-07-10 15:00:00+00:00,alpha,True,15.0,1,a-9,12026461,11807.0
1321049,1321049,2021-02-05 19:07:30.200286+00:00,x,y,2021-02-06 11:00:00+00:00,2021-02-06 13:00:00+00:00,gamma,True,0.0,0,c-4,1321049,9030.0
8503879,8503879,2021-06-02 15:03:39.957326+00:00,x,y,2021-07-05 13:00:00+00:00,2021-07-05 15:00:00+00:00,alpha,True,15.0,1,a-9,8503879,9403.0
3680428,3680428,2021-03-22 12:37:19.120380+00:00,x,y,2021-03-31 13:30:00+00:00,2021-03-31 15:30:00+00:00,alpha,True,35.0,1,a-5,3680428,10799.0
3158170,3158170,2021-03-13 03:55:01.702862+00:00,x,y,2021-03-23 13:30:00+00:00,2021-03-23 15:30:00+00:00,alpha,True,35.0,1,a-5,3158170,10799.0
2678069,2678069,2021-03-05 16:37:39.891075+00:00,x,y,2021-03-06 16:00:00+00:00,2021-03-06 18:00:00+00:00,alpha,True,35.0,1,a-7,2678069,8027.0
12320172,12320172,2021-07-02 10:37:33.579013+00:00,x,y,2021-07-14 09:45:00+00:00,2021-07-14 11:45:00+00:00,gamma,True,20.0,2,c-2,12320172,11285.0
13418134,13418134,2021-07-08 03:54:17.928874+00:00,x,y,2021-07-31 14:00:00+00:00,2021-07-31 15:55:00+00:00,beta,True,40.0,0,b-9,13418134,10870.0
4290382,4290382,2021-04-05 15:46:31.816018+00:00,x,y,2021-04-06 05:00:00+00:00,2021-04-06 07:00:00+00:00,alpha,True,15.0,1,a-1,4290382,8749.0
27037,27037,2021-01-01 06:28:11.930601+00:00,x,y,2021-01-02 16:00:00+00:00,2021-01-02 18:10:00+00:00,alpha,True,0.0,0,a-7,27037,8739.0
10189011,10189011,2021-06-17 08:35:30.621576+00:00,x,y,2021-07-31 07:00:00+00:00,2021-07-31 09:00:00+00:00,alpha,True,35.0,1,a-5,10189011,7124.0
17972857,17972857,2021-08-09 14:40:48.019476+00:00,x,y,2021-08-22 04:40:00+00:00,2021-08-22 06:40:00+00:00,omega,True,20.0,1,d-1,17972857,13450.0
6853723,6853723,2021-05-15 14:10:58.830578+00:00,x,y,2021-05-23 05:00:00+00:00,2021-05-23 06:55:00+00:00,beta,True,20.0,0,b-1,6853723,6734.0
2844210,2844210,2021-03-08 13:46:34.135001+00:00,x,y,2021-03-26 13:30:00+00:00,2021-03-26 15:30:00+00:00,alpha,True,15.0,1,a-5,2844210,7502.0
3401480,3401480,2021-03-17 05:23:34.967592+00:00,x,y,2021-03-19 05:00:00+00:00,2021-03-19 07:00:00+00:00,gamma,True,20.0,1,c-2,3401480,9800.0
12961085,12961085,2021-07-05 15:15:59.560598+00:00,x,y,2021-07-07 09:45:00+00:00,2021-07-07 11:45:00+00:00,gamma,True,20.0,1,c-2,12961085,11545.0
8607935,8607935,2021-06-03 14:34:26.364136+00:00,x,y,2021-06-25 05:00:00+00:00,2021-06-25 07:00:00+00:00,gamma,True,20.0,1,c-2,8607935,10900.0
153445,153445,2021-01-04 17:57:02.535298+00:00,x,y,2021-01-11 11:00:00+00:00,2021-01-11 12:55:00+00:00,beta,False,20.0,0,b-69,153445,8697.0
14610047,14610047,2021-07-15 18:33:22.391546+00:00,x,y,2021-07-24 14:00:00+00:00,2021-07-24 16:00:00+00:00,gamma,True,20.0,1,c-4,14610047,17090.0
14858674,14858674,2021-07-17 15:36:39.098798+00:00,x,y,2021-09-15 14:00:00+00:00,2021-09-15 16:00:00+00:00,gamma,True,20.0,1,c-4,14858674,12560.0
21160932,21160932,2021-08-27 05:40:32.942784+00:00,x,y,2021-09-01 04:00:00+00:00,2021-09-01 06:00:00+00:00,alpha,True,15.0,1,a-1,21160932,6810.0
10582586,10582586,2021-06-20 14:41:22.038753+00:00,x,y,2021-06-23 10:00:00+00:00,2021-06-23 12:00:00+00:00,alpha,True,15.0,1,a-7,10582586,7900.0
14951376,14951376,2021-07-18 10:59:49.682011+00:00,x,y,2021-07-20 13:00:00+00:00,2021-07-20 15:00:00+00:00,alpha,True,35.0,1,a-9,14951376,7524.0
12558771,12558771,2021-07-03 14:30:24.499513+00:00,x,y,2021-07-05 05:00:00+00:00,2021-07-05 06:55:00+00:00,beta,True,40.0,0,b-1,12558771,17480.0
8204227,8204227,2021-05-31 05:25:29.794642+00:00,x,y,2021-06-13 05:00:00+00:00,2021-06-13 07:00:00+00:00,gamma,True,20.0,2,c-2,8204227,11900.0
4187356,4187356,2021-04-02 16:39:09.381489+00:00,x,y,2021-04-05 05:00:00+00:00,2021-04-05 07:00:00+00:00,gamma,True,20.0,2,c-2,4187356,10800.0
13681116,13681116,2021-07-09 16:27:03.972264+00:00,x,y,2021-07-26 10:00:00+00:00,2021-07-26 12:00:00+00:00,alpha,True,35.0,1,a-7,13681116,14645.0
5846801,5846801,2021-04-30 06:11:06.939363+00:00,x,y,2021-05-07 14:00:00+00:00,2021-05-07 15:55:00+00:00,beta,True,40.0,0,b-9,5846801,11200.0
14842899,14842899,2021-07-17 13:17:00.799594+00:00,x,y,2021-07-18 13:00:00+00:00,2021-07-18 15:00:00+00:00,alpha,True,15.0,1,a-9,14842899,9045.0
15994526,15994526,2021-07-26 11:21:05.053732+00:00,x,y,2021-09-09 10:00:00+00:00,2021-09-09 12:00:00+00:00,gamma,True,20.0,1,c-2,15994526,12560.0
825748,825748,2021-01-24 14:05:04.803549+00:00,x,y,2021-02-02 05:15:00+00:00,2021-02-02 07:25:00+00:00,alpha,True,20.0,1,a-1,825748,10227.0
5248336,5248336,2021-04-22 15:01:29.891366+00:00,x,y,2021-04-24 05:00:00+00:00,2021-04-24 06:55:00+00:00,beta,True,20.0,0,b-1,5248336,6755.0
13053277,13053277,2021-07-06 05:31:32.884407+00:00,x,y,2021-07-14 11:00:00+00:00,2021-07-14 12:55:00+00:00,beta,True,40.0,0,b-69,13053277,12860.0
4330290,4330290,2021-04-06 16:30:52.861138+00:00,x,y,2021-04-09 05:00:00+00:00,2021-04-09 07:00:00+00:00,alpha,True,35.0,1,a-1,4330290,9077.0
11966564,11966564,2021-06-30 10:48:38.655529+00:00,x,y,2021-10-05 13:00:00+00:00,2021-10-05 15:00:00+00:00,alpha,True,15.0,1,a-9,11966564,6531.0
3371748,3371748,2021-03-16 13:41:16.609810+00:00,x,y,2021-03-18 13:30:00+00:00,2021-03-18 15:30:00+00:00,alpha,True,15.0,1,a-5,3371748,10799.0
2209095,2209095,2021-02-26 19:58:28.638270+00:00,x,y,2021-03-16 05:00:00+00:00,2021-03-16 06:55:00+00:00,beta,True,20.0,0,b-1,2209095,11452.0
15761567,15761567,2021-07-24 19:34:28.801414+00:00,x,y,2021-08-06 10:00:00+00:00,2021-08-06 12:00:00+00:00,gamma,True,20.0,2,c-2,15761567,9525.0
8837875,8837875,2021-06-05 18:40:49.563440+00:00,x,y,2021-06-30 17:00:00+00:00,2021-06-30 18:59:00+00:00,gamma,True,20.0,2,c-6,8837875,11900.0
13424268,13424268,2021-07-08 05:02:02.540458+00:00,x,y,2021-07-21 11:00:00+00:00,2021-07-21 12:55:00+00:00,beta,True,20.0,0,b-69,13424268,6420.0
6907002,6907002,2021-05-16 08:04:07.430304+00:00,x,y,2021-05-24 16:00:00+00:00,2021-05-24 18:00:00+00:00,alpha,True,35.0,1,a-7,6907002,6995.0
5558606,5558606,2021-04-26 04:23:01.759901+00:00,x,y,2021-05-07 11:00:00+00:00,2021-05-07 13:00:00+00:00,gamma,True,20.0,1,c-4,5558606,7640.0
3194940,3194940,2021-03-13 15:24:50.093867+00:00,x,y,2021-04-07 15:30:00+00:00,2021-04-07 17:30:00+00:00,alpha,True,15.0,1,a-7,3194940,9798.0
14063726,14063726,2021-07-12 07:13:14.253854+00:00,x,y,2021-07-13 07:00:00+00:00,2021-07-13 09:00:00+00:00,alpha,True,15.0,1,a-5,14063726,14945.0
10555881,10555881,2021-06-20 10:44:37.881088+00:00,x,y,2021-06-23 07:00:00+00:00,2021-06-23 09:00:00+00:00,alpha,True,15.0,1,a-5,10555881,6850.0
12833321,12833321,2021-07-05 00:58:10.207496+00:00,x,y,2021-07-05 14:00:00+00:00,2021-07-05 16:00:00+00:00,gamma,True,20.0,1,c-4,12833321,16090.0
7329099,7329099,2021-05-20 19:20:39.660914+00:00,x,y,2021-07-31 05:00:00+00:00,2021-07-31 07:00:00+00:00,gamma,True,20.0,1,c-2,7329099,8025.0
3023342,3023342,2021-03-11 07:04:44.463279+00:00,x,y,2021-03-23 11:00:00+00:00,2021-03-23 12:55:00+00:00,beta,True,20.0,0,b-69,3023342,9051.0
12339497,12339497,2021-07-02 12:16:27.783572+00:00,x,y,2021-07-15 17:00:00+00:00,2021-07-15 18:59:00+00:00,gamma,True,20.0,1,c-6,12339497,9785.0
4258184,4258184,2021-04-04 19:46:17.042201+00:00,x,y,2021-04-07 15:30:00+00:00,2021-04-07 17:30:00+00:00,alpha,True,35.0,1,a-7,4258184,9602.0
7747094,7747094,2021-05-25 17:10:52.208310+00:00,x,y,2021-06-30 16:00:00+00:00,2021-06-30 18:00:00+00:00,alpha,True,35.0,1,a-7,7747094,7520.0
9348955,9348955,2021-06-10 20:29:57.795685+00:00,x,y,2021-06-17 07:00:00+00:00,2021-06-17 09:00:00+00:00,alpha,True,35.0,1,a-5,9348955,9707.0
13982763,13982763,2021-07-11 15:14:26.347411+00:00,x,y,2021-07-21 13:00:00+00:00,2021-07-21 15:00:00+00:00,alpha,True,35.0,1,a-9,13982763,10545.0
2588412,2588412,2021-03-04 10:04:56.808493+00:00,x,y,2021-03-07 17:00:00+00:00,2021-03-07 18:59:00+00:00,gamma,True,20.0,2,c-6,2588412,14000.0
18680671,18680671,2021-08-12 13:27:41.869792+00:00,x,y,2021-09-08 13:00:00+00:00,2021-09-08 15:00:00+00:00,alpha,True,15.0,1,a-9,18680671,6810.0
2398992,2398992,2021-03-01 12:36:33.969293+00:00,x,y,2021-03-04 11:00:00+00:00,2021-03-04 13:00:00+00:00,gamma,True,20.0,2,c-4,2398992,8890.0
18751480,18751480,2021-08-12 19:27:00.178331+00:00,x,y,2021-08-23 17:00:00+00:00,2021-08-23 18:59:00+00:00,gamma,True,20.0,1,c-6,18751480,11300.0
12528649,12528649,2021-07-03 11:31:58.477449+00:00,x,y,2021-08-05 09:45:00+00:00,2021-08-05 11:45:00+00:00,gamma,True,20.0,2,c-2,12528649,11285.0
17694249,17694249,2021-08-08 08:20:23.564545+00:00,x,y,2021-08-29 14:00:00+00:00,2021-08-29 16:00:00+00:00,gamma,True,20.0,2,c-4,17694249,9525.0
4126184,4126184,2021-04-01 06:53:35.771263+00:00,x,y,2021-04-25 11:00:00+00:00,2021-04-25 13:00:00+00:00,gamma,True,20.0,2,c-4,4126184,10800.0
3866363,3866363,2021-03-26 10:53:03.341703+00:00,x,y,2021-03-28 15:30:00+00:00,2021-03-28 17:30:00+00:00,alpha,True,35.0,1,a-7,3866363,10799.0
9694300,9694300,2021-06-13 12:42:14.686583+00:00,x,y,2021-06-25 17:00:00+00:00,2021-06-25 18:59:00+00:00,gamma,True,20.0,2,c-6,9694300,7900.0
10077483,10077483,2021-06-16 08:56:30.238293+00:00,x,y,2021-08-11 10:00:00+00:00,2021-08-11 12:00:00+00:00,alpha,True,35.0,1,a-7,10077483,7124.0
3873759,3873759,2021-03-26 13:26:45.044253+00:00,x,y,2021-04-20 17:00:00+00:00,2021-04-20 18:59:00+00:00,gamma,True,20.0,1,c-6,3873759,9800.0
17137889,17137889,2021-08-04 17:51:56.136383+00:00,x,y,2021-08-07 04:40:00+00:00,2021-08-07 06:40:00+00:00,omega,True,20.0,1,d-1,17137889,7950.0
8404594,8404594,2021-06-01 17:31:26.455931+00:00,x,y,2021-06-09 07:00:00+00:00,2021-06-09 09:00:00+00:00,alpha,True,35.0,1,a-5,8404594,9707.0
14047263,14047263,2021-07-12 04:50:47.525569+00:00,x,y,2021-07-13 14:00:00+00:00,2021-07-13 16:00:00+00:00,gamma,True,20.0,1,c-4,14047263,13130.0
15619569,15619569,2021-07-23 17:18:24.435234+00:00,x,y,2021-08-13 14:00:00+00:00,2021-08-13 16:00:00+00:00,gamma,True,20.0,2,c-4,15619569,10280.0
15654777,15654777,2021-07-23 23:31:19.717900+00:00,x,y,2021-11-03 14:00:00+00:00,2021-11-03 16:00:00+00:00,gamma,True,20.0,2,c-4,15654777,13560.0
12556448,12556448,2021-07-03 14:18:14.207825+00:00,x,y,2021-07-07 17:00:00+00:00,2021-07-07 18:59:00+00:00,gamma,True,20.0,2,c-6,12556448,11285.0
749242,749242,2021-01-22 11:02:45.651155+00:00,x,y,2021-01-23 05:00:00+00:00,2021-01-23 07:00:00+00:00,gamma,True,32.0,1,c-2,749242,9905.0
8728419,8728419,2021-06-04 16:18:56.813219+00:00,x,y,2021-06-12 10:00:00+00:00,2021-06-12 12:00:00+00:00,alpha,True,35.0,1,a-7,8728419,10006.0
7660553,7660553,2021-05-24 14:15:53.693078+00:00,x,y,2021-05-30 11:00:00+00:00,2021-05-30 12:55:00+00:00,beta,True,40.0,0,b-69,7660553,9325.0
13527300,13527300,2021-07-08 16:59:36.501859+00:00,x,y,2021-07-26 17:00:00+00:00,2021-07-26 18:59:00+00:00,gamma,True,20.0,2,c-6,13527300,12545.0
3329867,3329867,2021-03-15 19:01:49.203940+00:00,x,y,2021-03-16 15:30:00+00:00,2021-03-16 17:30:00+00:00,alpha,True,35.0,1,a-7,3329867,10799.0
1275819,1275819,2021-02-04 16:11:24.796066+00:00,x,y,2021-02-21 11:00:00+00:00,2021-02-21 13:00:00+00:00,gamma,True,32.0,1,c-4,1275819,9150.0
3759826,3759826,2021-03-24 08:45:09.215418+00:00,x,y,2021-04-06 05:00:00+00:00,2021-04-06 06:55:00+00:00,beta,True,20.0,0,b-1,3759826,8988.0
6251441,6251441,2021-05-05 21:11:48.521842+00:00,x,y,2021-05-24 11:00:00+00:00,2021-05-24 13:00:00+00:00,gamma,True,0.0,0,c-4,6251441,9330.0
2312343,2312343,2021-02-28 09:23:53.029618+00:00,x,y,2021-03-17 11:00:00+00:00,2021-03-17 13:00:00+00:00,gamma,True,20.0,1,c-4,2312343,7390.0
10787461,10787461,2021-06-22 08:43:03.189885+00:00,x,y,2021-07-13 09:45:00+00:00,2021-07-13 11:45:00+00:00,gamma,True,20.0,1,c-2,10787461,6900.0
3080707,3080707,2021-03-11 20:42:14.396883+00:00,x,y,2021-03-21 05:00:00+00:00,2021-03-21 07:00:00+00:00,alpha,True,15.0,1,a-1,3080707,9798.0
7071410,7071410,2021-05-17 23:27:15.324744+00:00,x,y,2021-05-20 14:00:00+00:00,2021-05-20 15:55:00+00:00,beta,True,20.0,0,b-9,7071410,7047.0
16953575,16953575,2021-08-03 08:24:06.604113+00:00,x,y,2021-08-19 10:00:00+00:00,2021-08-19 12:00:00+00:00,alpha,True,15.0,1,a-7,16953575,7524.0
10176028,10176028,2021-06-17 06:30:46.573587+00:00,x,y,2021-07-15 16:00:00+00:00,2021-07-15 18:00:00+00:00,alpha,True,35.0,1,a-23,10176028,7124.0
10540392,10540392,2021-06-20 08:44:09.816932+00:00,x,y,2021-06-26 10:00:00+00:00,2021-06-26 12:00:00+00:00,alpha,True,35.0,1,a-7,10540392,13277.0
3176069,3176069,2021-03-13 09:56:36.511878+00:00,x,y,2021-03-27 05:00:00+00:00,2021-03-27 06:55:00+00:00,beta,True,20.0,0,b-1,3176069,9030.0
17741039,17741039,2021-08-08 12:20:00.925090+00:00,x,y,2021-08-16 10:00:00+00:00,2021-08-16 12:00:00+00:00,alpha,True,15.0,1,a-7,17741039,7524.0
1210604,1210604,2021-02-03 06:50:16.461098+00:00,x,y,2021-02-10 13:00:00+00:00,2021-02-10 15:00:00+00:00,alpha,True,20.0,1,a-5,1210604,9799.0
7378926,7378926,2021-05-21 10:55:29.902015+00:00,x,y,2021-07-08 05:00:00+00:00,2021-07-08 07:00:00+00:00,alpha,True,15.0,1,a-1,7378926,7124.0
12835353,12835353,2021-07-05 01:45:58.255476+00:00,x,y,2021-07-25 07:00:00+00:00,2021-07-25 09:00:00+00:00,alpha,True,35.0,1,a-5,12835353,14645.0
20204897,20204897,2021-08-20 16:58:33.706963+00:00,x,y,2021-08-22 07:00:00+00:00,2021-08-22 09:00:00+00:00,alpha,True,20.0,1,a-5,20204897,28245.0
9350128,9350128,2021-06-10 20:50:21.562868+00:00,x,y,2021-06-24 13:00:00+00:00,2021-06-24 15:00:00+00:00,alpha,True,35.0,1,a-9,9350128,9707.0
8071821,8071821,2021-05-29 23:33:30.731220+00:00,x,y,2021-06-14 17:00:00+00:00,2021-06-14 18:59:00+00:00,gamma,True,20.0,2,c-6,8071821,11900.0
8933993,8933993,2021-06-06 19:58:32.577509+00:00,x,y,2021-06-10 16:00:00+00:00,2021-06-10 18:00:00+00:00,alpha,True,35.0,1,a-23,8933993,10006.0
8725699,8725699,2021-06-04 15:52:36.390046+00:00,x,y,2021-06-27 10:00:00+00:00,2021-06-27 12:00:00+00:00,alpha,True,15.0,1,a-7,8725699,9403.0
12321945,12321945,2021-07-02 10:47:34.686446+00:00,x,y,2021-07-15 16:00:00+00:00,2021-07-15 18:00:00+00:00,alpha,True,35.0,1,a-23,12321945,10545.0
1038323,1038323,2021-01-30 02:41:41.261435+00:00,x,y,2021-01-31 05:15:00+00:00,2021-01-31 07:25:00+00:00,alpha,True,0.0,0,a-1,1038323,8739.0
15320358,15320358,2021-07-21 15:13:30.447559+00:00,x,y,2021-07-24 10:00:00+00:00,2021-07-24 12:00:00+00:00,gamma,True,20.0,1,c-2,15320358,11300.0
20580268,20580268,2021-08-23 08:03:42.180129+00:00,x,y,2021-08-30 10:35:00+00:00,2021-08-30 12:35:00+00:00,omega,True,20.0,1,d-3,20580268,7950.0
12841295,12841295,2021-07-05 03:37:01.690120+00:00,x,y,2021-07-07 09:45:00+00:00,2021-07-07 11:45:00+00:00,gamma,True,20.0,2,c-2,12841295,12545.0
17688446,17688446,2021-08-08 07:54:54.758843+00:00,x,y,2021-08-16 07:00:00+00:00,2021-08-16 09:00:00+00:00,alpha,True,15.0,1,a-5,17688446,6524.0
9996721,9996721,2021-06-15 14:51:04.149991+00:00,x,y,2021-06-22 09:45:00+00:00,2021-06-22 11:45:00+00:00,gamma,True,20.0,2,c-2,9996721,7620.0
17506032,17506032,2021-08-07 08:37:06.594248+00:00,x,y,2021-08-10 16:00:00+00:00,2021-08-10 18:00:00+00:00,alpha,True,20.0,1,a-23,17506032,7524.0
7965295,7965295,2021-05-28 16:38:24.718894+00:00,x,y,2021-07-08 05:00:00+00:00,2021-07-08 07:00:00+00:00,gamma,True,20.0,2,c-2,7965295,11425.0
7333284,7333284,2021-05-20 20:14:40.964641+00:00,x,y,2021-05-31 17:00:00+00:00,2021-05-31 18:59:00+00:00,gamma,True,20.0,2,c-6,7333284,9025.0
2543009,2543009,2021-03-03 15:58:33.845489+00:00,x,y,2021-03-14 16:00:00+00:00,2021-03-14 17:55:00+00:00,beta,True,20.0,0,b-19,2543009,6944.0
9571414,9571414,2021-06-12 15:45:32.412673+00:00,x,y,2021-06-17 14:00:00+00:00,2021-06-17 16:00:00+00:00,gamma,True,20.0,2,c-4,9571414,7900.0
17507646,17507646,2021-08-07 08:45:36.362917+00:00,x,y,2021-12-23 17:00:00+00:00,2021-12-23 18:55:00+00:00,beta,True,20.0,0,b-19,17507646,6570.0
19659771,19659771,2021-08-17 16:25:28.311046+00:00,x,y,2021-09-05 17:00:00+00:00,2021-09-05 18:59:00+00:00,gamma,True,20.0,1,c-6,19659771,7500.0
7356982,7356982,2021-05-21 06:38:10.039308+00:00,x,y,2021-06-30 14:00:00+00:00,2021-06-30 15:55:00+00:00,beta,True,20.0,0,b-9,7356982,7385.0
16984943,16984943,2021-08-03 13:22:45.199327+00:00,x,y,2021-08-13 17:00:00+00:00,2021-08-13 18:59:00+00:00,gamma,True,20.0,1,c-6,16984943,7765.0
14934619,14934619,2021-07-18 08:40:26.605955+00:00,x,y,2021-07-29 10:00:00+00:00,2021-07-29 12:00:00+00:00,alpha,True,35.0,1,a-7,14934619,12645.0
15983015,15983015,2021-07-26 10:02:54.795638+00:00,x,y,2021-08-15 11:00:00+00:00,2021-08-15 12:55:00+00:00,beta,True,20.0,0,b-69,15983015,6480.0
2705664,2705664,2021-03-06 07:09:24.602794+00:00,x,y,2021-03-31 05:00:00+00:00,2021-03-31 07:00:00+00:00,alpha,True,35.0,1,a-1,2705664,8027.0
18887681,18887681,2021-08-13 13:09:28.401509+00:00,x,y,2021-08-13 18:15:00+00:00,2021-08-13 20:15:00+00:00,alpha,True,15.0,1,a-23,18887681,9045.0
15041272,15041272,2021-07-19 05:53:08.734327+00:00,x,y,2021-09-03 11:00:00+00:00,2021-09-03 12:55:00+00:00,beta,True,40.0,0,b-69,15041272,8200.0
7072835,7072835,2021-05-18 00:20:59.534298+00:00,x,y,2021-05-28 11:00:00+00:00,2021-05-28 13:00:00+00:00,gamma,True,20.0,1,c-4,7072835,7390.0
5634586,5634586,2021-04-27 01:38:39.419222+00:00,x,y,2021-05-13 11:00:00+00:00,2021-05-13 13:00:00+00:00,gamma,True,20.0,1,c-4,5634586,9655.0
16845105,16845105,2021-08-02 08:04:31.745765+00:00,x,y,2021-08-03 14:00:00+00:00,2021-08-03 16:00:00+00:00,gamma,True,20.0,1,c-4,16845105,8100.0
10459870,10459870,2021-06-19 13:51:42.570135+00:00,x,y,2021-06-21 07:00:00+00:00,2021-06-21 09:00:00+00:00,alpha,True,35.0,1,a-5,10459870,7124.0
5672289,5672289,2021-04-27 13:33:12.945905+00:00,x,y,2021-05-06 17:00:00+00:00,2021-05-06 18:59:00+00:00,gamma,True,20.0,2,c-6,5672289,8390.0
